#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/,1M pop,,Population,Continent,1 Caseevery X ppl1 Deathevery X ppl1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
1,USA,"106,762,797",,"1,162,403                                ",,"104,699,401",,"900,993","1,247","318,880","3,472","1,178,666,374","3,520,453","334,805,269 ",North America,,32880,,,"2,691"
2,India,"44,960,678",,"531,606                                ",,"44,392,828",,"36,244",N/A,"31,963",378,"927,239,236","659,191","1,406,631,776 ",Asia,,"312,6462",,,26
3,France,"40,007,281",,"166,645                                ",,"39,720,963",,"119,673",869,"610,011","2,541","271,490,188","4,139,547","65,584,518 ",Europe,,23940,,,"1,825"
4,Germany,"38,409,620",,"173,307                                ",,"38,204,800",,"31,513",N/A,"457,892","2,066","122,332,384","1,458,359","83,883,596 ",Europe,,24841,,,376
5,Brazil,"37,487,971",,"701,833                                ",,"36,249,161",,"536,977",N/A,"174,076","3,259","63,776,166","296,146","215,353,593 ",South America,,63073,,,"2,493"
6,Japan,"33,766,957",,"74,614                                ",,N/A,N/A,N/A,71,"268,878",594,"100,342,320","799,000","125,584,838 ",Asia,,"41,6831",,,"95,291"
7,S. Korea,"31,251,203","+18,459","34,518                                ",+6,"30,959,576","+4,939","257,109",141,"608,830",672,"15,804,065","307,892","51,329,899 ",Asia,,"21,4873",360,0.1,"5,009"
8,Italy,"25,788,387",,"189,738                                ",,"25,468,617",,"130,032",100,"427,932","3,149","271,449,155","4,504,425","60,262,770 ",Europe,,23180,,,"2,158"
9,UK,"24,569,895",,"223,396                                ",,"24,323,813","+1,833","22,686",N/A,"358,696","3,261","522,526,476","7,628,357","68,497,907 ",Europe,,33070,,,331
10,Russia,"22,866,342",,"398,431                                ",,"22,273,109",,"194,802",N/A,"156,827","2,733","273,400,000","1,875,095","145,805,947 ",Europe,,63661,,,"1,336"
11,Turkey,"17,232,066",,"102,174                                ",,N/A,N/A,N/A,,"201,399","1,194","162,743,369","1,902,052","85,561,976 ",Asia,,58371,,,"4,024"
12,Spain,"13,825,052",,"120,715                                ",,"13,665,628",,"38,709",231,"295,918","2,584","471,036,328","10,082,298","46,719,142 ",Europe,,33870,,,829
